mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
4.457443555196126,0.6130973250509086,0.2850648562113444,0.008255536873697098,0.8,2,0.0,300,6,0.03,0.1,0.9,"{'subsample': 0.8, 'reg_lambda': 2, 'reg_alpha': 0, 'n_estimators': 300, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.5444335004372883,0.5354840490422079,0.5409122682549083,0.5402766059114682,0.0036811429411146694,10
1.6297714710235596,0.03193971714050172,0.10890555381774902,0.020417684721107224,0.7,3,0.0,300,2,0.05,0.3,1.0,"{'subsample': 0.7, 'reg_lambda': 3, 'reg_alpha': 0, 'n_estimators': 300, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 1.0}",0.5417859404974962,0.5311541550157747,0.5386264542562332,0.537188849923168,0.004457857878411402,23
1.8206692536671956,0.014644246086304125,0.1719226837158203,0.050200450742865485,0.9,10,0.5,300,3,0.03,0.1,0.9,"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 300, 'max_depth': 3, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 0.9}",0.5425995450636049,0.5328117268395186,0.5357691919726415,0.537060154625255,0.004098803469694612,25
4.579289595286052,0.8153310414764307,0.33177900314331055,0.06034796649350216,0.8,10,0.01,300,5,0.03,0.1,1.0,"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 0.01, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.5430032524705894,0.5367377915864635,0.5431232557432867,0.5409547666001132,0.002982254057551542,6
1.4697539806365967,0.02990139933920432,0.0982351303100586,0.0009734050043761513,1.0,1,0.0,300,5,0.1,1.0,1.0,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 300, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 1, 'colsample_bytree': 1.0}",0.5428496037296311,0.5367089978512848,0.5318956913659026,0.5371514309822728,0.004482845772096683,24
0.9853479862213135,0.009383616649652943,0.06790431340535481,0.0016450038180311998,1.0,1,0.01,200,2,0.05,0.3,1.0,"{'subsample': 1.0, 'reg_lambda': 1, 'reg_alpha': 0.01, 'n_estimators': 200, 'max_depth': 2, 'learning_rate': 0.05, 'gamma': 0.3, 'colsample_bytree': 1.0}",0.5363619611020183,0.5263372245855569,0.5320326205933972,0.5315772687603241,0.004105227929119239,29
2.232349475224813,0.040740330565498306,0.2088619867960612,0.024562895120767068,1.0,2,0.1,200,6,0.03,0.0,0.7,"{'subsample': 1.0, 'reg_lambda': 2, 'reg_alpha': 0.1, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.03, 'gamma': 0, 'colsample_bytree': 0.7}",0.5433023204991007,0.535729942725791,0.5442672907015194,0.5410998513088037,0.0038174800165662404,4
5.088811079661052,0.6920409552114741,0.3622453212738037,0.07856874022320763,1.0,5,0.1,500,4,0.05,0.1,1.0,"{'subsample': 1.0, 'reg_lambda': 5, 'reg_alpha': 0.1, 'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.05, 'gamma': 0.1, 'colsample_bytree': 1.0}",0.5457862187404623,0.532295142747916,0.5379559376250018,0.53867909970446,0.005531395568572753,19
2.128186305363973,0.01883703049796097,0.1848293940226237,0.019547520679220144,0.8,2,0.01,200,6,0.08,0.5,0.8,"{'subsample': 0.8, 'reg_lambda': 2, 'reg_alpha': 0.01, 'n_estimators': 200, 'max_depth': 6, 'learning_rate': 0.08, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.546385049220614,0.5360706012970242,0.5446252613553374,0.5423603039576586,0.004505143949019956,1
1.8724117279052734,0.2254228632815663,0.12483414014180501,0.027223085070119276,0.8,1,1.0,200,5,0.03,0.3,1.0,"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 1, 'n_estimators': 200, 'max_depth': 5, 'learning_rate': 0.03, 'gamma': 0.3, 'colsample_bytree': 1.0}",0.5433803287114101,0.5328182590956908,0.5405039553792044,0.5389008477287685,0.004458459692613562,17
